"filename", "language", "JSON", "C#", "XML", "aspnetcorerazor", "Markdown", "Properties", "JavaScript", "CSS", "SCSS", "Less", "Ignore", "PowerShell", "comment", "blank", "total"
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\alerts.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 4, 16
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\background-variant.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 2, 10
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\border-radius.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 2, 19
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\buttons.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 5, 6, 62
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\center-block.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\clearfix.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 11, 2, 23
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\forms.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 25, 7, 86
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\gradients.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 9, 5, 60
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\grid-framework.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 10, 6, 92
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\grid.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 9, 10, 123
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\hide-text.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10, 4, 24
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\image.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 8, 5, 31
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\labels.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 3, 13
